LOAN,MORTDUE,VALUE,YOJ,CLAGE,CLNO,DEBTINC
10500,NaN,18600,24,NaN,NaN,NaN
10500,74000,89000,6,138.033333,27,NaN
10500,41500,56247,8,70.033333,24,NaN
10500,30922,57682,30,241.460413,19,23.237035
10500,69656,88198,15,97.319406,8,27.322397
10500,89000,268000,NaN,120.8,15,NaN
10500,42003,53754,16,84.551104,12,32.342959
10500,76729,102287,5,89.062699,33,38.447659
10500,74814,98132,8,164.330898,34,32.375149
10500,55267,65160,1,108.275423,22,47.079285
10500,47483,53877,9,117.052395,26,21.446282
10500,34044,55784,10,245.13086,32,36.350329
10500,12630,32220,NaN,NaN,NaN,34.34586
10500,27180,86978,22,230.721154,10,25.75301
10600,47701,66500,10,103.01429,23,37.310006
10600,37742,64334,NaN,NaN,NaN,37.541258
10600,80386,106526,1,64.066736,19,34.104697
10600,31216,44716,8,149.194648,29,37.88226
10600,82894,124359,7,NaN,NaN,40.325885
10600,54344,92742,19,171.205079,28,24.553206
10600,39061,50225,15,77.114285,12,32.587466
10600,61294,82646,5,87.859169,13,36.395148
10600,46589,64559,8,85.230876,33,40.451393
10600,28264,86546,20,244.140509,11,24.20235
10600,44696,57686,0,170.340974,20,37.792555
10600,61513,73143,2,164.567656,34,43.204953
10600,82365,100272,3,122.483594,26,33.651647
10600,81151,200459,14,9.534143,7,21.223214
10600,62909,81411,15,238.314471,35,34.680382
10600,53200,71000,2,224.233333,39,NaN
10600,22000,35200,13,90.333333,14,NaN
10600,56814,66692,10,107.374055,18,32.625687
10600,136820,201820,2,68.353056,22,38.07221
10600,50662,62491,0,197.709267,13,26.251888
10600,43676,61576,6,84.839126,10,30.868137
10600,66590,77465,1,110.771623,6,39.735785
10600,46972,80147,12,244.23353,29,32.656531
10600,63245,82041,3,184.572578,29,38.219034
10600,73844,107640,3,92.979491,34,37.319289
10600,120137,137090,17,173.690461,33,30.958906
10600,80397,203341,14,11.963733,7,18.73209
10600,83217,101359,1,54.746622,24,40.760387
10600,27666,56218,3,249.85119,10,39.528326
10600,64546,84576,0,173.625284,35,28.971804
10600,48018,68963,2,186.757593,16,30.655744
10600,56352,75277,5,98.377278,15,26.242394
10600,72022,82238,5,181.76894,30,39.594148
10600,58701,67967,10,116.532289,19,31.540218
10700,85198,107044,0,66.758325,19,36.846467
10700,56197,79272,18,218.981662,16,34.01536
10700,126751,184554,8,225.870352,19,34.137055
10700,48322,64383,0,185.256735,12,28.030802
10700,83650,203720,11,13.588694,8,19.587711
10700,124330,176350,8,222.634339,19,33.964777
10700,55341,78062,3,192.596855,12,28.828649
10700,55043,68609,2,46.272176,17,25.448845
10700,73996,92766,15,102.147429,9,25.384063
10700,59588,69166,6,133.906505,17,36.180858
10700,49573,68125,2,223.2,10,NaN
10700,122000,148000,0.7,165.333333,29,NaN
10700,34000,49756,0.9,230.3,8,NaN
10700,67523,85560,5,126.842935,35,26.001665
10700,41144,59375,2,73.6,18,NaN
10700,50210,64838,9,95.039168,34,40.396233
10700,54091,67661,27,188.533989,24,38.589372
10700,147477,181050,6,190.021085,55,34.698162
10700,115118,124198,6,174.341823,19,31.757991
10700,110789,126781,6,178.637468,19,31.888936
10700,51224,70399,5,110.677442,23,42.939294
10700,67065,96171,9,205.0076,28,41.587201
10700,29569,47842,12,144.817175,28,36.784582
10800,199000,226000,11,236.366667,22,NaN
10800,64305,107374,9,97.861326,36,36.996386
10800,98568,121994,15,270.265165,16,33.658292
10800,32870,61572,NaN,NaN,NaN,38.490247
10800,35602,73077,NaN,179.89656,20,53.584883
10800,11950,46780,24,268.9,20,NaN
10800,70214,83882,4,172.799301,30,38.588824
10800,49254,80527,2,202.53743,13,29.551583
10800,44355,57742,20,129.731992,22,38.042768
10800,125732,184667,7,212.223469,19,33.92079
10800,31149,67239,NaN,NaN,NaN,35.265437
10800,80203,98731,4,113.425146,31,41.474074
10800,64181,70996,4,171.759579,17,33.227794
10800,57892,78900,15,329.166667,14,NaN
10800,NaN,NaN,NaN,NaN,NaN,NaN
10800,75000,87400,7,101.466667,19,NaN
10800,52600,66700,2,110.566667,26,NaN
10800,75378,86060,6,102.665071,23,30.09501
10800,67740,108135,11,163.273832,12,38.383498
10800,194485,228670,1,75.45815,4,28.370131
10800,56477,94980,17,179.917363,28,25.21074
10800,78898,86567,9,179.830829,12,40.291952
10800,59469,69834,3,308.759176,9,34.095785
10800,61791,78361,5,94.518068,15,28.088525
10800,24182,39750,2,176.833333,36,NaN
10800,NaN,49495,5,141.165298,8,21.079999
10800,83441,92148,5,119.145844,26,40.978635
10800,49953,75322,0,58.892731,21,23.875946
10800,67171,82138,2,89.124526,6,38.803146
10800,13365,66979,9,346.979651,22,16.48163
10800,89139,122571,8,NaN,NaN,40.780527
10800,42191,57224,15,68.810826,11,30.51823
10800,61767,72668,15,228.985453,32,37.914335
10900,86754,110000,13,103.433333,19,NaN
10900,57494,66704,6,115.312749,24,39.510986
10900,NaN,76207,NaN,NaN,NaN,22.392612
10900,49406,83074,1,191.815123,13,30.124556
10900,22513,52355,1,248.583409,10,39.204625
10900,NaN,16365,NaN,59.548703,2,24.195904
10900,NaN,66691,NaN,349.752362,7,34.343349
10900,17282,70783,19,404.904393,11,23.610124
10900,56793,68825,3,225.889041,9,34.727875
10900,25061,35792,3,NaN,NaN,37.104712
10900,51990,76918,0,180.818102,12,29.555407
10900,59029,76120,2,231.734144,10,36.025684
10900,116030,125179,6,177.085845,19,33.849093
10900,45028,61014,10,72.494661,23,35.667646
10900,49352,56529,7,78.833618,23,36.174955
11000,14046,34777,5,256.634152,11,22.447943
11000,88252,112567,11,224.715576,15,39.526852
11000,52602,61496,13,107.340066,22,37.699109
11000,60513,110485,3,126.771929,17,40.031393
11000,76958,88607,9,175.411827,12,39.216775
11000,21738,86586,20,241.060791,10,25.2186
11000,77929,102942,8,173.829884,34,33.897773
11000,89275,108653,15,206.903481,15,37.743047
11000,57554,68222,14,215.431794,32,36.569348
11000,21780,85505,19,240.682581,10,24.404335
11000,63314,69285,15,244.017775,32,36.54257
11000,48538,63805,9,88.606023,22,38.026151
11000,50716,61492,3,90.23033,20,38.255862
11000,77517,86214,2,352.379138,28,28.030214
11000,56795,70014,3,319.795771,10,33.596171
11000,45000,63775,14,173.166667,18,NaN
11000,49000,66922,11,91,32,NaN
11000,108095,137000,3,277,46,NaN
11000,15129,29375,6,102.433333,17,NaN
11000,74596,98000,6,108.533333,27,NaN
11000,85149,106820,10,240.433333,25,NaN
11000,102000,120000,3,125.8,26,NaN
11000,63847,86500,26,170.433333,14,NaN
11000,54100,70438,2,115.6,25,NaN
11000,66400,81500,9.5,215.066667,65,NaN
11000,63975,235000,4,123.766667,17,NaN
11000,53700,68000,6,101.5,13,NaN
11000,62227,81250,9,123.766667,34,NaN
11000,41000,63450,2.9,NaN,NaN,NaN
11000,122751,140000,5,116.7,30,NaN
11000,85474,118125,2.5,132.933333,9,NaN
11000,131949,165096,5,440.421254,42,26.904766
11000,116361,143318,15,181.070793,32,30.032845
11000,54641,65705,5,323.192928,10,33.299628
11000,85758,108661,11,255.287415,24,29.434867
11000,60123,74887,3,242.249761,16,37.68017
11000,43614,60831,3,84.444746,20,36.673648
11000,83639,98081,10,155.37122,22,42.539686
11000,50178,64427,5,67.636289,11,28.689928
11000,77723,107245,5,115.55853,26,26.91193
11000,46093,60563,4,190.482164,21,29.578148
11000,85008,73223,7,197.120045,23,41.441052
11000,106762,123138,2,131.011916,25,32.803743
11000,92521,110704,13,208.898485,16,39.250433
11000,49000,68000,2,9.1,15,NaN
11000,NaN,56851,10,308.435649,13,31.075617
11000,48893,113223,7,237.098081,9,22.003376
11100,47689,52910,21,224.48075,18,34.947077
11100,59232,71157,5,108.217161,24,40.091832
11100,NaN,50262,5,175.756888,8,22.956864
11100,52028,77316,NaN,194.484897,12,30.797674
11100,79226,88112,10,179.648274,12,40.670905
11100,72402,86584,8,102.972079,22,29.655713
11100,17430,68499,20,403.965401,12,21.758643
11100,NaN,26400,8,NaN,0,NaN
11100,82849,113913,10,167.36103,27,35.763333
11100,27861,47737,8,89.492117,4,34.050949
11100,82329,100139,5,108.532564,26,26.099259
11100,80922,95105,3,90.881292,31,38.120811
11100,NaN,67005,NaN,364.375976,7,36.674734
11100,68784,85464,2,117.998304,14,36.044252
11100,52029,71376,4,250.252165,16,38.483648
11100,61856,77275,4,243.713774,16,36.56412
11100,105226,122901,3,113.68878,26,33.896643
11100,53232,86703,16,183.206208,29,26.87489
11100,52900,91741,NaN,93.110353,8,40.761453
11100,75392,89976,9,163.703555,12,39.271885
11100,31999,61406,31,239.050557,19,20.961273
11100,NaN,NaN,NaN,NaN,NaN,26.232459
11100,54496,71895,6,125.765775,16,35.506774
11100,56999,67427,8,139.513915,16,35.892436
11100,67366,102936,9,213.281496,20,19.078651
11100,35782,45550,8,109.284346,3,36.159806
11100,148235,182053,4,198.809717,55,33.538726
11100,48031,107561,5,226.781105,9,24.190327
11100,43167,60209,3,80.368197,20,37.490799
11100,50350,58837,6,80.843217,10,28.793166
11200,32562,47220,8,151.285867,29,38.019135
11200,66868,107794,10,152.929829,12,39.640829
11200,93649,113833,13,205.117246,16,39.12613
11200,29348,87351,20,224.394895,11,26.129627
11200,44966,55114,1,173.961897,21,37.456622
11200,23181,80140,21,221.418093,10,25.462642
11200,68890,84059,12,254.019689,36,41.433944
11200,17411,86102,10,267.970109,13,22.0892
11200,114000,139200,5,213.566667,36,NaN
11200,56842,66710,6,144.79522,17,33.885877
11200,56877,65125,6,12.176929,1,33.241219
11200,62752,73003,13,226.565905,31,38.339798
11200,65508,103523,12,154.427368,12,37.575436
11200,153103,181849,6,186.249507,55,33.995565
11200,68990,81922,12,120.885811,23,43.159875
11200,NaN,48150,3,165.768017,9,22.302234
11200,19496,73140,20,399.242692,12,23.374505
11300,57377,75038,4,91.219961,15,25.14028
11300,124205,196124,0,332.723389,15,40.120168
11300,64437,79857,5,88.789156,14,27.899268
11300,61810,79817,6,98.224144,14,25.525079
11300,NaN,66345,NaN,357.143819,6,34.601974
11300,62168,80681,6,117.376229,34,27.694521
11300,56651,71353,29,176.912988,24,38.544442
11300,46120,52911,19,229.441578,17,36.334814
11300,77926,89216,6,146.810154,26,39.466964
11300,129489,195105,0,356.313486,16,41.634018
11300,54984,63958,4,190.92093,16,28.086855
11300,40752,53683,22,129.758062,23,38.425881
11300,NaN,28600,20,190.031218,15,39.008673
11300,29000,59900,3,91.633333,11,NaN
11300,56602,71500,11,52.8,20,NaN
11300,66814,82021,4,173.711838,29,38.556929
11300,16115,69113,22,403.515,12,22.168245
11300,77846,101984,5,112.384845,27,28.298734
11300,114392,214523,2,132.09766,15,26.25183
11300,62568,79009,4,295.33467,19,28.600252
11300,NaN,NaN,NaN,NaN,NaN,NaN
11300,78902,100332,4,116.9988,26,34.683071
11300,NaN,73121,NaN,NaN,NaN,22.577246
11300,74783,100909,5,85.664834,34,35.947855
11400,NaN,29374,20,207.930256,15,38.955125
11400,NaN,38246,NaN,88.886975,10,37.658389
11400,75705,90727,5,143.101033,27,42.169927
11400,66491,89553,4,212.783283,16,31.120133
11400,55965,78051,6,96.29202,14,27.173232
11400,59813,72873,13,234.330241,31,39.351471
11400,125486,195284,0,354.290287,15,38.143069
11400,43530,56600,21,114.982979,23,39.481663
11400,56789,74016,7,127.625475,16,33.027144
11400,51203,60716,2,99.104083,20,38.235313
11400,NaN,44849,6,163.274595,9,23.481117
11400,NaN,27439,27,208.177112,5,23.830111
11400,28043,87684,20,229.177959,10,25.489995
11400,84380,202186,13,34.914372,7,18.840349
11400,112930,144830,2,271.238037,46,33.251079
11400,84278,200480,14,4.41277,8,19.112485
11400,64934,74875,3,192.314483,16,34.343756
11400,50166,61395,1,188.886682,12,26.950451
11400,52068,80643,2,199.087721,13,29.462134
11500,56720,82738,17,200.416954,16,34.019838
11500,104790,122169,16,266.121057,16,34.082178
11500,53651,87547,18,191.396887,16,34.368651
11500,116430,215014,3,132.093634,14,26.864568
11500,43945,63337,2,193.742485,21,27.623494
11500,53151,71645,7,135.800476,16,35.851614
11500,70409,89099,9,169.401652,11,40.17443
11500,61264,75647,11,262.890188,36,39.547883
11500,44097,58336,0,173.318321,20,38.191626
11500,77143,86862,8,164.596403,12,39.449693
11500,21096,38952,13,129.7,5,NaN
11500,47597.57,75937.5,13.5,89.4,7,NaN
11500,67000,83000,4,NaN,NaN,NaN
11500,62000,83000,0,177.566667,34,NaN
11500,64371,73636,2,162.116254,35,39.791199
11500,63136,81099,3,149.064745,35,28.97594
11500,29281,37717,15,61.915445,9,30.702429
11500,104610,118861,18,203.700202,16,37.596951
11500,NaN,64037,NaN,354.174581,7,34.355739
11500,59781,69864,4,312.547396,9,31.181801
11500,22758,36922,7,103.048117,16,19.020168
11600,82326,94599,0,NaN,3,29.893621
11600,64143,78851,6,201.369922,29,35.795805
11600,92613,108515,11,206.822588,16,39.111039
11600,44623,NaN,13,178.093222,29,21.334652
11600,57939,69774,5,91.991646,12,72.264093
11600,50433,107092,5,225.181691,9,24.952595
11600,89205,128462,10,128.123597,21,37.523325
11600,22635,33353,6,85.57207,16,19.223873
11600,35865,50000,NaN,78.133333,15,NaN
11600,57200,72500,5,34.466667,15,NaN
11600,45917,60000,10,304.366667,27,NaN
11600,96882,118914,13,176.221911,17,34.75774
11600,28654,47042,10,158.084788,29,38.477505
11600,36357,56514,31,237.818966,19,20.181582
11600,33379,51821,31,247.120592,19,23.661084
11600,64510,71105,5,150.263332,34,43.239187
11600,57436,72460,11,255.12603,27,28.945532
11600,129432,198705,0,341.047329,16,39.963259
11600,73079,101219,7,152.249875,33,34.249621
11600,NaN,36474,NaN,93.727138,10,37.202954
11700,42151,58947,22,122.030362,23,40.083145
11700,NaN,67940,3,204.025593,38,NaN
11700,78789,91342,5,128.360674,27,41.952682
11700,47072,85090,18,192.253182,16,35.064865
11700,95411,117927,14,177.926696,17,34.490564
11700,54085,68239,2,8.055265,15,32.012659
11700,51600,72399,15,125.36337,20,NaN
11700,52650,63646,0,194.761,13,27.610844
11700,59932,80313,14,238.486462,32,44.474918
11700,40266,59097,NaN,74.998099,15,39.497029
11700,NaN,69125,NaN,NaN,NaN,23.766832
11700,84863,91737,0,NaN,4,30.330811
11700,63724,82252,13,233.248879,37,40.075276
11700,59506,85000,3,37.566667,4,NaN
11700,69100,85000,3.8,80.1,22,NaN
11700,62400,78000,20,216.066667,24,NaN
11700,63914,93707,7,162.579837,51,69.48065
11700,37093,62116,NaN,NaN,NaN,37.010949
11700,74783,86227,7,116.7568,23,28.019227
11700,64278,76055,12,245.295163,26,28.439966
11700,15163,74500,19,378.825819,11,20.090783
11700,56441,86987,17,198.032718,16,33.931163
11700,78157,103016,1,69.805698,24,38.448387
11700,55119,67931,4,199.410699,16,27.616339
11700,56990,83334,4,177.432699,13,30.998694
11700,101520,110617,18,198.543348,16,38.721259
11700,96532,107600,12,214.869817,15,40.287411
11700,68059,86216,3,175.658568,35,30.25397
11800,74512,93328,4,117.91882,16,58.29599
11800,118053,125325,5,181.172065,18,33.200397
11800,52104,61618,0,160.749931,21,37.129512
11800,79131,102263,5,105.253893,34,36.070979
11800,67678,108092,13,126.658232,36,37.16269
11800,NaN,65769,NaN,357.332682,7,34.327277
11800,21813,30436,5,104.011636,16,19.408461
11800,44944,57132,NaN,74.156045,14,42.812243
11800,57760,65535,11,108.469401,18,32.783484
11800,65062,78004,12,251.144196,31,43.372373
11800,67336,82218,12,255.313535,36,40.878428
11800,86785,125552,11,148.176492,22,37.884449
11800,116742,137385,15,170.540035,33,30.785004
11800,38825,51984,NaN,82.527794,14,40.882733
11800,32257,59515,23,231.599944,29,25.701276
11800,NaN,51246,11,305.566716,13,32.500059
11800,65012,91614,26,171.889547,13,42.488517
11800,53596,69786,5,126.787781,24,41.047755
11800,98877,110250,18,195.862917,16,36.871699
11800,112146,140781,14,170.700507,32,29.942492
11900,44600,63800,9,243.5,18,NaN
11900,54867,79000,1,182.6,23,NaN
11900,44142,54299,22,123.471147,22,37.154902
11900,56443,86913,12,119.85941,24,38.861657
11900,85486,109386,11,175.542565,28,33.670908
11900,108763,128780,8,60.377933,21,49.418114
11900,56792,64130,13,118.61259,18,32.665746
11900,NaN,39433,NaN,81.39483,9,35.503664
11900,71000,87000,20,238.466667,24,NaN
11900,85179,122788,10,NaN,NaN,39.430731
11900,41009,68211,23,234.929617,28,28.391039
11900,28329,80963,21,239.457118,10,24.534997
11900,117550,144178,15,170.945833,32,29.099981
11900,58104,77870,7,69.433333,19,NaN
11900,52814,72000,12,123.6,20,NaN
11900,34222,59948,24,228.075351,29,25.728837
11900,26601,52544,0,240.694361,11,40.775677
11900,81849,105403,5,82.639505,34,36.505983
11900,29822,48574,13,132.401691,4,36.611157
11900,201264,227295,10,239.743366,22,33.776337
11900,97506,110902,17,196.568128,15,37.998991
11900,89595,107895,9,250.468242,24,30.305388
11900,63833,NaN,3,NaN,NaN,40.932767
11900,78959,104371,1,79.081397,23,40.024211
11900,83877,208924,15,12.752047,7,18.249722
11900,114329,143915,15,185.572668,32,28.977739
11900,81318,105454,6,92.136821,33,37.525751
11900,61094,74842,12,250.199834,26,29.734874
12000,84172,123415,9,139.018449,21,38.58267
12000,83560,126479,8,NaN,NaN,38.928316
12000,63019,74204,6,98.591738,14,24.490438
12000,41182,59947,23,118.179939,22,37.131064
12000,57371,69076,10,83.251972,19,29.632108
12000,76799,83864,8,102.204274,22,27.17193
12000,35028,55079,23,108.633969,23,40.797458
12000,30777,43157,8,151.699431,28,38.177743
12000,7804,65395,8,347.123326,21,16.816307
12000,38130,68707,23,234.88798,29,26.301237
12000,15756,53079,23,259.555044,20,29.397478
12000,50581,70171,NaN,206.319234,12,29.843137
12000,69796,93757,16,91.432676,8,24.459384
12000,102109,121229,2,104.482591,25,34.767289
12000,79844,98139,8,156.954758,34,31.700124
12000,76345,89036,8,91.97035,19,50.173065
12000,35721,52938,23,125.928071,22,38.627025
12000,72786,84595,4,198.769325,30,38.090209
12000,42000,60000,4,145.533333,23,NaN
12000,69000,92900,2,115.9,15,NaN
12000,74427,96270,18,169.733333,40,NaN
12000,NaN,NaN,3,213.666667,15,NaN
12000,43000,64000,1,262.966667,21,NaN
12000,96000,135000,14,126.8,22,NaN
12000,46000,60200,4,176.5,14,NaN
12000,87000,101200,13,151.133333,18,NaN
12000,98000,123385,10,170.433333,32,NaN
12000,76187,93100,0.5,144.066667,23,NaN
12000,73000,94900,9,189.7,30,NaN
12000,150000,175065,7,206.666667,26,NaN
12000,29600,61250,7.5,264.8,16,NaN
12000,NaN,63000,0,NaN,0,NaN
12000,94000,112125,2,143.033333,22,NaN
12000,72000,106000,6,78.066667,14,NaN
12000,42482,67800,19,199.9,16,NaN
12000,53800,80000,0.3,124.766667,11,NaN
12000,88000,118750,3,153.5,26,NaN
12000,44000,59500,3.7,172.5,14,NaN
12000,81000,105250,9,200.9,37,NaN
12000,36346,54000,NaN,114.666667,19,NaN
12000,81000,99000,20,136,24,NaN
12000,64000,80000,2,239.533333,26,NaN
12000,NaN,87000,13,NaN,NaN,NaN
12000,85039,111100,0.2,144.066667,34,NaN
12000,87000,113850,11,216.133333,12,NaN
12000,NaN,NaN,19,195.833333,13,NaN
12000,75373,102602,6,99.366667,21,NaN
12000,36000,51900,0.1,247.5,10,NaN
12000,114390,132800,10,95.733333,25,NaN
12000,28298,72000,8,105.5,22,NaN
12000,118000,139350,2,153.166667,17,NaN
12000,87917,NaN,12.9,71,12,NaN
12000,58730,80000,10,123.1,25,NaN
12000,59099,82000,10,219.133333,33,NaN
12000,15231,42845.01,6.5,65.966667,18,NaN
12000,48786,89800,29.9,220.133333,16,NaN
12000,74265,91000,7,137,3,NaN
12000,42000,58000,5,113.633333,18,NaN
12000,76674,97936,5,147.914203,27,41.225763
12000,54257,82764,14,188.337422,31,38.94276
12000,36072,62960,8,288.529873,16,22.423002
12000,97650,115931,11,199.828042,17,34.387944
12000,NaN,67446,NaN,356.93333,7,37.934443
12000,88210,114224,8,203.468979,36,41.572972
12000,84191,100654,0,79.677885,20,33.773303
12000,63589,75959,14,253.616928,31,43.159701
12000,NaN,33879,NaN,121.379536,4,39.694691
12000,48189,53969,5,276.381743,18,65.495243
12000,98428,114820,16,188.148208,15,36.737721
12100,56335,86648,17,206.247095,17,35.127874
12100,48622,83158,4,191.569292,12,29.2045
12100,58556,76724,3,234.658545,16,37.639253
12100,186062,227171,0,67.780848,4,26.990533
12100,13218,82386,7,262.394254,14,18.430472
12100,96439,126328,3,156.319131,26,39.279313
12100,44484,64398,3,263.044704,20,28.803983
12100,29097,72647,8,109.51488,22,45.304761
12100,90917,102400,11,159.874518,17,33.453728
12100,50100,66410,3,176.009864,14,28.548604
12100,68941,75029,14,254.189655,31,43.89785
12100,50150,65565,4,166.231709,13,26.644325
12100,50973,74183,6,122.691827,24,41.128085
12100,22000,38750,0.8,167.4,17,NaN
12100,12000,33938,9,118.766667,11,NaN
12100,31400,48000,6,107.533333,16,NaN
12100,67000,79100,5,155.2,32,NaN
12100,67927,94126,2,35.538878,3,38.847597
12100,NaN,72731,0,NaN,0,0.720295
12100,74594,90555,4,123.776625,27,41.634847
12100,83557,98881,6,102.225705,26,25.782787
12100,61868,66874,30,170.438639,23,37.915021
12100,46152,72773,0,270.48998,20,29.495116
12100,97185,113004,13,202.622531,15,37.716646
12100,105104,144712,13,129.518808,22,37.413775
12100,71060,79744,3,179.866349,35,29.894151
12100,85121,113744,0,139.48534,34,33.943438
12100,28193,34705,0,NaN,NaN,37.618027
12100,18728,34443,9,117.648283,10,21.589836
12100,55147,72553,0,229.406175,10,35.86773
12100,48149,74539,17,200.032562,15,23.130972
12200,61929,83102,14,238.524927,32,44.449671
12200,110088,137794,3,251.151892,46,33.517117
12200,57785,72971,2,166.89946,16,34.709644
12200,67474,88473,2,234.775997,26,29.097299
12200,136866,162906,4,427.923591,43,30.182123
12200,80336,102618,2,79.730261,19,34.405482
12200,97000,109800,5,152.133333,33,NaN
12200,91000,114053,11,173.5,27,NaN
12200,206613,232176,10,237.31577,22,30.689439
12200,45095,64736,9,249.673771,18,31.635303
12200,70722,81760,0,219.785273,26,30.277005
12200,199232,229929,11,223.438117,21,31.370272
12200,82904,125057,8,131.659053,21,37.27314
12200,61302,90873,2,35.973542,4,39.973613
12200,27118,87982,19,232.236996,11,25.235439
12200,53242,70400,14,169.930664,18,34.629428
12200,57112,76050,1,235.229269,9,35.113185
12200,90154,110479,9,196.926406,37,43.189031
12200,86775,111572,0,138.610081,33,34.351808
12300,79838,85209,8,173.838624,11,37.824471
12300,114035,137208,15,173.714323,33,32.056072
12300,89333,106107,19,120.257886,24,28.774702
12300,24552,48278,0,171.075105,16,29.299551
12300,61253,85825,5,130.026259,34,27.203378
12300,152107,179793,7,212.782996,25,43.134095
12300,48866,73023,11,251.629062,29,32.876871
12300,48238,66603,6,80.388983,11,40.019105
12300,112373,136202,16,179.882973,32,30.488268
12300,69499,104045,8,219.090489,20,18.584757
12300,60200,77079,13,242.244138,32,45.394169
12300,NaN,50530,5,163.54096,9,20.026284
12300,78000,101200,0.4,145.066667,19,NaN
12300,50230,70000,1,184.366667,20,NaN
12300,49800,64000,23,232.333333,17,NaN
12300,77000,94000,41,212.866667,17,NaN
12300,114457,144284,1,252.659253,45,32.497145
12300,52622,64407,0,191.077425,13,26.203067
12300,152274,177940,4,196.876758,56,33.722769
12300,27859,48393,10,82.76016,3,34.385367
12300,90006,121122,9,133.497541,21,36.910482
12300,159798,177853,6,206.817073,25,41.425041
12300,81590,90050,6,136.746759,26,41.732676
12300,35651,59795,22,118.653064,23,40.662982
12300,50441,56656,1,186.451017,21,35.452607
12300,33061,46277,8,154.899278,28,39.701783
12300,102908,124217,9,159.994026,31,27.707444
12300,141020,157511,4,403.74893,43,29.583184
12300,92573,119325,2,157.620643,33,34.775103
12300,73099,84250,4,NaN,NaN,40.222283
12300,11300,39000,NaN,170.433333,21,NaN
12300,68024,78800,7,125.504051,35,29.293344
12300,64265,90956,10,233.156125,32,32.908824
12400,132894,198168,0,355.163911,16,40.540295
12400,31303,57444,29,246.716827,18,20.205908
12400,80510,97548,1,74.404263,19,36.45735
12400,137927,160566,6,436.75178,42,29.272557
12400,45604,65501,9,70.337531,24,35.212181
12400,26768,52411,0,253.318043,11,38.821021
12400,203902,234454,9,213.455447,22,33.648521
12400,16375,36672,8,120.674928,11,24.089437
12400,49264,57923,0,182.001042,13,27.008777
12400,36034,62953,9,262.079345,16,21.345227
12400,NaN,69350,0,NaN,0,2.365195
12400,94000,112000,4,NaN,0,NaN
12400,115902,146813,1,288.467627,45,33.054284
12400,115004,144760,2,279.522173,46,35.614731
12400,57105,74582,12,134.031768,20,36.925736
12400,34055,40739,9,147.012827,29,39.930947
12400,50573,84008,15,76.042087,7,41.027967
12400,NaN,65317,NaN,349.279611,6,35.714418
12400,25805,31414,2,NaN,NaN,38.237226
12400,24769,87665,21,238.382769,11,25.332201
12400,83018,96637,2,95.902131,32,41.244779
12500,93538,118369,0,132.823712,33,34.833865
12500,37562,57081,22,129.486844,23,39.083002
12500,69117,101503,13,145.953018,36,36.759985
12500,157312,181050,7,209.706737,25,40.90562
12500,10035,61897,6,368.737796,21,14.733595
12500,83276,129116,7,138.687955,22,39.589962
12500,57294,66615,3,321.387587,9,31.380899
12500,101047,118913,2,156.605492,22,35.899288
12500,56960,69014,4,307.636664,10,30.362484
12500,83924,100114,0,71.304198,20,34.712769
12500,79900,94660,19,252.349698,24,35.800492
12500,NaN,52026,6,173.717239,8,21.621195
12500,41000,64680,2,70.9,30,NaN
12500,41301,60000,2,77.233333,12,NaN
12500,55000,75393,0.75,113.033333,16,NaN
12500,77100,90550,NaN,173.466667,26,NaN
12500,71582,93400,6,74.066667,21,NaN
12500,53060,67500,16,183.633333,15,NaN
12500,69192,105300,4,282.033333,23,NaN
12500,62000,102600,10,226.433333,42,NaN
12500,50097,73846,1,267.865458,20,29.159609
12500,77792,100812,10,182.956996,29,27.385873
12500,53354,79893,10,249.435954,29,35.020886
12500,66163,83727,4,176.935248,30,36.77464
12500,81865,101048,1,147.402227,23,38.855163
12500,17659,31843,7,107.741095,16,19.300854
12500,55228,66569,3,198.815167,17,27.996873
12500,77937,89710,19,223.587415,24,35.951999
12500,26286,36002,2,NaN,NaN,38.438682
12500,NaN,39200,0,309.4,9,NaN
12500,56791,72974,29,182.066405,24,35.691623
12500,NaN,NaN,NaN,NaN,NaN,27.352644
12600,71370,90316,26,162.357441,14,39.875484
12600,84933,110253,8,192.422606,37,40.845078
12600,80612,93802,5,141.613146,26,40.749039
12600,68800,86000,3,202.866667,26,NaN
12600,41169.82,57000,5.5,98.433333,18,NaN
12600,83921,90876,3,106.937397,32,41.473001
12600,45633,77578,19,209.72552,15,23.915615
12600,103946,113900,17,194.359939,16,36.414573
12600,125688,198602,0,344.747933,16,39.48382
12600,86785,110400,0.7,89.066667,27,NaN
12600,72854,86209,2,118.069647,14,36.051487
12600,67860,103426,9,202.152634,20,18.347529
12600,103960,127384,2,129.015499,25,34.479455
12600,32742,41299,10,170.407106,29,37.80267
12600,25000,37882,8.8,87.2,12,NaN
12600,48983,65000,5,58.7,23,NaN
12600,62493,77141,13,266.333101,26,27.007872
12600,55415,74307,29,198.846721,23,36.837741
12600,58247,72189,30,198.243176,23,35.79426
12600,100590,138649,14,138.164705,22,34.598727
12600,85335,97094,2,116.086609,32,40.845246
12600,83552,107186,21,128.660245,24,28.723018
12600,37699,59874,22,114.235952,23,38.682676
12600,76002,94236,11,164.762304,21,39.525705
12600,49986,67896,3,190.159907,17,29.266317
12700,204038,230920,10,242.912893,22,29.801627
12700,79448,91004,20,227.50739,23,34.464302
12700,149272,176467,7,191.904464,55,33.90232
